content,score,sentiment,polarity,textblob_sentiment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,clean_content,clean_vader_compound,clean_vader_neg,clean_vader_neu,clean_vader_pos,clean_textblob_sentiment,clean_textblob_polarity,clean_textblob_subject
Bagus sangat membantu,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"Suka banget pakai inii, gampang jugaa mudah banget dimengerti",5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
mantap markotop,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
great app,5,2,positive,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,0.6249,0,0.196,0.804,great,0.6249,0,0,1,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
good,5,2,positive,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6,0.4404,0,0,1,good,0.4404,0,0,1,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6
sukses slalu..,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
Bertransaksi mudah dengan aplikasi Jago Syariah,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
Komplain saya direspon dengan baik,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,saya,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
Nice,5,2,positive,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1,0.4215,0,0,1,nice,0.4215,0,0,1,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1
great app for savingð,5,2,positive,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,0.6249,0,0.423,0.577,great save,0.8074,0,0,1,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
sangat terbantu terima kasih,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
bagus,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,,0,0,0,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
Baru buka sebulanan ini dan merasa keren banget karena jadi bisa manage keuangan lebih baik dan jadi satu akun untuk semua hehehe,5,2,positive,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,baru,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"This is maybe the right time I have to tell the team. I've been experiencing freezing and extremely long time to load the app. Even from the pin/fingerprint log in. It's often to not be able to open the In/out menu to see the payment history/prove. Please fix this problem and I think there's such a big problem with your server or something. The speed is badly slow. Love the features, but you guys have to consider the user experience & usability more.",1,0,negative,"Sentiment(polarity=0.1595238095238095, subjectivity=0.4623015873015874)",0.15952381,0.462301587,-0.1779,0.079,0.873,0.048,right time tell team long time load even fingerprint often open menu payment prove problem think problem server speed slow love guy user,-0.0516,0.182,0.676,0.142,"Sentiment(polarity=0.08714285714285713, subjectivity=0.4871428571428571)",0.087142857,0.487142857
"It is highly not recommended to use this application, especially to open an account here, after the ""BIG"" update that changed the UI/UX appearance of the application, there were lots of bugs and lags during use. Not only that, the service for checking transactions also takes a very long time, especially during maintenance which requires us to wait a long time and there is no warning or notification beforehand if maintenance will be carried out. Not recommended !!",1,0,negative,"Sentiment(polarity=-0.031875, subjectivity=0.6514285714285715)",-0.031875,0.651428571,-0.5439,0.079,0.896,0.025,recommend open account chang appear lot bug lag dure check transact also take veri long time dure wait long time warn beforehand recommend,0.296,0.137,0.683,0.18,"Sentiment(polarity=-0.03333333333333333, subjectivity=0.43333333333333335)",-0.033333333,0.433333333
"I give up on registering an account via this app. I did it twice but still failed. The call center sounds helpful but solving nothing at the end. I think the problem is not the stability of the Internet connection, but your app is too heavy. This makes the account verification difficult. I rarely leave a review on this Google play. This might be because I do want to use Jenius, but the experience itself is too bad.",1,0,negative,"Sentiment(polarity=-0.28333333333333327, subjectivity=0.5777777777777777)",-0.283333333,0.577777778,-0.7527,0.164,0.707,0.129,give account twice still fail call center sound help think problem connect make account difficult rare review play might want,-0.5106,0.299,0.481,0.22,"Sentiment(polarity=-0.07999999999999999, subjectivity=0.5399999999999999)",-0.08,0.54
"Do NOT ever open the account or even install this app. I tried to transfer my balance from this not-so-genius app to OVO, and all I got is there is the problem with my internet connection, while I can do other transactions. What kind of service is this?? This doesn't happen only once or twice, it happens almost EVERY TIME. It is so annoying, I usually a straight person, if your service is good, 5 stars there you are. But this time? Nah, I would give zero star if I can.",1,0,negative,"Sentiment(polarity=0.08214285714285714, subjectivity=0.6678571428571429)",0.082142857,0.667857143,-0.4283,0.065,0.899,0.036,ever open account even tri transfer problem connect transact kind happen twice happen almost time annoy usual straight person good star time would give zero star,0.4364,0.154,0.608,0.238,"Sentiment(polarity=0.25, subjectivity=0.53)",0.25,0.53
"I used to love this app so much, but since the last update the UI seems so heavy and slower. It's really bothering when you have to send money but stucked in the main page. Worse, this happened after the feesible thing taken every month. No, I did'nt paid monthly fee for a slower and ineffective app like this. We don't really need new UI, we want simple and dependable banking experience.",1,0,negative,"Sentiment(polarity=0.08030303030303029, subjectivity=0.3511688311688312)",0.08030303,0.351168831,-0.533,0.117,0.795,0.088,use love much last seem bother send money stuck main page happen thing taken month like need want depend bank,0.5574,0.161,0.547,0.292,"Sentiment(polarity=0.2222222222222222, subjectivity=0.3333333333333333)",0.222222222,0.333333333
"Amazingly slow performance and always failed to activate my account. When it comes to be connected to video call, the apps was force closed at any time I tried. I followed the operator to try many times. Now, I refuse to try again. My phone works well with another banking apps even to make the same video call or stream HD video. If it is possible to rate 0 star, I'll do.",1,0,negative,"Sentiment(polarity=-0.06666666666666667, subjectivity=0.4041666666666666)",-0.066666667,0.404166667,-0.5267,0.072,0.901,0.027,slow perform alway fail account come connect video call close time tri follow mani time phone work well bank even make video call stream video rate star,-0.34,0.114,0.817,0.069,"Sentiment(polarity=-0.4, subjectivity=0.35)",-0.4,0.35
"The apps performance is really bad, super slow. It keeps on loading for more than 30 minutes. I often face difficulties to open the apps. Once it is opened, it only displays loading screen so that I can't use any feature. The flexi saver and dashboard is often show wrong balance such as 0. The bank charges Rp10k every month just for a service like this. The process for closing account is also uncomfortable. Please fix either the apps or the procedure to close account. Thank you.",1,0,negative,"Sentiment(polarity=-0.12962962962962962, subjectivity=0.6814814814814816)",-0.12962963,0.681481481,-0.3214,0.134,0.755,0.111,perform super slow keep load often face open open display load screen saver dashboard often show wrong bank month like process close account also uncomfort either close account thank,0.7003,0.084,0.676,0.241,"Sentiment(polarity=-0.09333333333333335, subjectivity=0.5933333333333333)",-0.093333333,0.593333333
"Everytime I change my debit card limit it will automatically change itself to a certain lower amount. My subscription has failed the payment due to this issue even though I have enough money. On top of that, somehow now I cannot change my card limit and it just shows me a white screen of death. Are you doing this so you can charge me extra fee for the failed payment? I am frustrated, this is NOT cool! Fix your app!",1,0,negative,"Sentiment(polarity=-0.13841517857142857, subjectivity=0.34964285714285714)",-0.138415179,0.349642857,-0.9408,0.197,0.762,0.041,chang debit card limit automat chang certain lower amount subscript fail payment even though enough money somehow chang card limit show white screen death extra fail payment cool,-0.8658,0.332,0.557,0.111,"Sentiment(polarity=-0.06224489795918368, subjectivity=0.34591836734693876)",-0.062244898,0.345918367
"In theory, this app/product could be a great payment solution, especially for those who doesn't have access to online payment method. But, the system is hardly reliable, logging in to the apps take time, card verification failed. It's just not dependable. The CS team is super slow when it comes to handle complaints. And there is also some annoying UI that ask whether you're still want to chat while it's the CS that takes an awful long time to reply. Disappointing 1/5",1,0,negative,"Sentiment(polarity=-0.24083333333333337, subjectivity=0.6658333333333333)",-0.240833333,0.665833333,-0.8968,0.191,0.703,0.106,product could great payment access payment method system log take time card fail depend team super slow come complaint also annoy whether still want chat take aw long time disappoint,-0.25,0.259,0.528,0.213,"Sentiment(polarity=-0.0027777777777777887, subjectivity=0.4527777777777777)",-0.002777778,0.452777778
"Sorry I have to give this app 1 star review. So, recently I've moved the genius app to my new phone and suddenly I can't do log in?! I've been trying for so many times, but everything is the same, when I input the OTP numbers, it says ""your session has expired. you are now logged out automatically"" hell! Please do your job properly to fix this problem. And I refuse to go to the branch office, because this is a problem that you guys the developers can fix it. Thank you.",1,0,negative,"Sentiment(polarity=0.01948051948051948, subjectivity=0.41850649350649355)",0.019480519,0.418506494,-0.9256,0.17,0.774,0.056,give star review recent move phone tri mani time input number say session log automat hell problem branch problem guy develop thank,-0.802,0.325,0.552,0.123,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25
"Very laggy. Very slow. And the customer service on twitter says that we need to clear data and cache if it lags. But as it lags everytime i need to use it, so i have to clear data first before hand. EVERY SINGLE TIME. It is so unreliable. Considering this app handles all private financial data of mine, i hope the developer will prioritize making the app faster and more reliable as well as secure.",1,0,negative,"Sentiment(polarity=0.10885714285714285, subjectivity=0.36092857142857143)",0.108857143,0.360928571,0.9382,0.055,0.732,0.213,veri veri slow custom twitter say need clear data lag lag need clear data first hand time data mine hope develop make faster well,0.8225,0.136,0.483,0.381,"Sentiment(polarity=0.037500000000000006, subjectivity=0.37499999999999994)",0.0375,0.375
"I can't even begin to fathom on how bad the service is. First, they won't allow you to log back in to your account after resetting your phone or after getting your phone stolen for ""security reasons"". Not only that, the process to get your previous device unlisted is a nightmare, especially if you don't remember the specific details for your latest transaction with them. Not only that, they had the gall and audacity to charge 10,000 IDR/month for this kind of service. Y'all flopped!",1,0,negative,"Sentiment(polarity=0.06333333333333335, subjectivity=0.6091666666666666)",0.063333333,0.609166667,-0.7398,0.094,0.88,0.026,even begin fathom first allow back account reset phone get phone stolen reason process unlist detail latest transact gall month kind flop,-0.0772,0.194,0.623,0.183,"Sentiment(polarity=0.3375, subjectivity=0.5333333333333333)",0.3375,0.533333333
"I don't know why this is suddenly happening to me. I never have any problem with Jenius Application before, I know that it was always slow in responding when you try to open your app, but this thing happen to me now, never actually happen before. So, I really want you to help me. I couldn't sign in into my own account. Everytime I try to sign in then set my pin, it always said that my session is expired, so I logged out automatically. I already try to uninstall the app but it didn't work either.",1,0,negative,"Sentiment(polarity=0.08333333333333333, subjectivity=0.45)",0.083333333,0.45,0.7243,0,0.93,0.07,know happen never problem know alway slow respond open thing happen never actual happen want help sign account sign alway said session log automat work either,0.577,0.042,0.788,0.17,"Sentiment(polarity=-0.10000000000000002, subjectivity=0.3333333333333333)",-0.1,0.333333333
"it sucks!!!! 2017 I registered to this app, 2019 I don't use it anymore, but 2022 I reinstall this app and use it. Without any notification I was deducted 120K for annual fee of this app. I called the call center, but they just claim that they already inform the customer through the app on 2021. Since I don't have the app at 2021, they just DONT INFORM ME as their customer. And the call center can not give me the solution, and keep claim that they are inform us from the app. SUCKS!",1,0,negative,"Sentiment(polarity=-0.32685546875, subjectivity=0.2)",-0.326855469,0.2,-0.6505,0.072,0.899,0.029,suck without deduct annual call call center claim inform custom dont inform custom call center give keep claim inform suck,-0.7003,0.244,0.756,0,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
Please do not use this app if you have urgent transaction. It took ages to finish up one payment only. Doesn't sound genius enough just like the name should be. It took a lot of patient for you to deal with this app.,1,0,negative,"Sentiment(polarity=0.13333333333333333, subjectivity=0.6333333333333333)",0.133333333,0.633333333,0.6808,0,0.858,0.142,urgent transact took age finish payment sound enough like name took patient deal,0.5106,0,0.719,0.281,"Sentiment(polarity=0.2, subjectivity=0.45)",0.2,0.45
"Its worst. The app is very laggy, the marketing team its just the worst. They force you to install and register this account when you didnt even need it. Deactivating account took so long and still didnt receive any mail from them.",1,0,negative,"Sentiment(polarity=-0.4625, subjectivity=0.6749999999999999)",-0.4625,0.675,-0.8481,0.17,0.83,0,worst veri market team worst account didnt even need account took long still didnt mail,-0.8481,0.387,0.613,0,"Sentiment(polarity=-0.6833333333333332, subjectivity=0.7999999999999999)",-0.683333333,0.8
"funny how the amazing features of this app still can't make me forgive the super slow, sluggish, glitchy, error-prone UX. you have the audacity to charge your credit card users 500k + 120k feesible a year for this terrible app with tons of errors and failed transactions? you're joking. it's been years yet your improvement is literally close to none. we still have many options for digital banking apps with speedy performance and fairer charge, so you better be on the mend.",1,0,negative,"Sentiment(polarity=0.04259259259259259, subjectivity=0.5851851851851851)",0.042592593,0.585185185,0.8146,0.132,0.666,0.202,still make super slow sluggish error prone credit card user year ton error fail transact joke year liter close none still mani option digit bank perform fairer better mend,0,0.262,0.475,0.262,"Sentiment(polarity=0.008333333333333318, subjectivity=0.4666666666666667)",0.008333333,0.466666667
"They blocked my card TWICE when i use it for paypal!, they will block your card if you use it to pay something without 3d secure! even paypal! and they just say there's suspicious activity without further explanation, and demand IDR 50K for DIGITAL card replacement!",1,0,negative,"Sentiment(polarity=0.20833333333333334, subjectivity=0.3666666666666667)",0.208333333,0.366666667,-0.8911,0.254,0.746,0,block card twice block card without even without demand digit card,-0.7247,0.469,0.531,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"Failed during register phase. It could not take the KTP image. The officer implied there are similar cases with my phone brand and other chinese brands as well. No other solution than buy a new phone or borrow other people's phone, which is ridiculous.",1,0,negative,"Sentiment(polarity=-0.11055871212121213, subjectivity=0.4099431818181818)",-0.110558712,0.409943182,-0.7822,0.195,0.764,0.041,fail dure phase could take similar case phone brand brand well phone borrow phone,-0.34,0.199,0.682,0.119,"Sentiment(polarity=-0.25, subjectivity=0.35)",-0.25,0.35
This app is super slow. Not very helpful for regular transactions for its slow loading. It takes forever to open the app. However it's quite convinient to have saving account in Jenius. Easy to open and good rate,1,0,negative,"Sentiment(polarity=0.08518518518518517, subjectivity=0.4752136752136752)",0.085185185,0.475213675,0.7993,0.055,0.735,0.21,super slow veri help regular transact slow load take open quit save account open good rate,0.9136,0,0.486,0.514,"Sentiment(polarity=0.061904761904761886, subjectivity=0.4490842490842491)",0.061904762,0.449084249
"What a hassle, the old account with the new mobile phone has to be unlinked from the old mobile phone... What if the mobile phone is destroyed? Must call cs first, with long-winded adverts and long processes... Never mind, just let my account die by itself. I will not use genius anymore.",1,0,negative,"Sentiment(polarity=0.05606060606060607, subjectivity=0.41464646464646465)",0.056060606,0.414646465,-0.7964,0.124,0.876,0,account phone unlink phone phone destroy must call first long wind advert long process never mind account,-0.5423,0.179,0.821,0,"Sentiment(polarity=-0.012500000000000004, subjectivity=0.2833333333333333)",-0.0125,0.283333333
"1 star. Suddenly there's a IDR 10k charge, and no BTPS option with no admin fee which is haram. Too bad, I like having foreign currency saving for when I travel abroad.",1,0,negative,"Sentiment(polarity=-0.27499999999999997, subjectivity=0.4305555555555555)",-0.275,0.430555556,-0.6597,0.206,0.729,0.065,star option like foreign save travel abroad,0.6908,0,0.467,0.533,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
"despite the clean UX and nice features, the app is often irresponsive and it gets really frustrating to use.",1,0,negative,"Sentiment(polarity=0.18888888888888888, subjectivity=0.8666666666666667)",0.188888889,0.866666667,-0.3921,0.225,0.66,0.115,clean nice often get,0.6705,0,0.267,0.733,"Sentiment(polarity=0.48333333333333334, subjectivity=0.8500000000000001)",0.483333333,0.85
"Ul/ux Sucks! Make it Like Jago instead. Fast, responsive, also with the pocket feature.",1,0,negative,"Sentiment(polarity=-0.0875, subjectivity=0.44999999999999996)",-0.0875,0.45,0.4199,0.133,0.585,0.282,suck make like instead fast also pocket,-0.1027,0.279,0.481,0.24,"Sentiment(polarity=0.2, subjectivity=0.6)",0.2,0.6
"cant open the app, this always happen and the app just keep loading.",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,0,0,1,0,cant open alway happen keep load,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5
"Can't login, homescreen very slow loading. Please fix.",1,0,negative,"Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39,0.52,0.3744,0,0.732,0.268,login veri slow load,0,0,1,0,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.3,0.4
The app performance is terrible. It's so slow. Please fix it! Its 2023 and still terrible. Its suddenly stop. Why this apps was often error.,1,0,negative,"Sentiment(polarity=-0.59375, subjectivity=0.725)",-0.59375,0.725,-0.8322,0.335,0.589,0.076,perform slow still stop often error,-0.5994,0.551,0.449,0,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.3,0.4
"the customer service didnt work, btpn didnt know anythinh, the real customer service in my city just one person and always switch up between 2 malls. such an incompetent service, will move all my saving to jago for real.",1,0,negative,"Sentiment(polarity=0.012500000000000011, subjectivity=0.3666666666666667)",0.0125,0.366666667,-0.4767,0.075,0.925,0,custom didnt work didnt know real custom person alway switch mall move save real,0.4939,0,0.802,0.198,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.3
Slow. Chat close in one minutes. Live agents can do almost nothing.,1,0,negative,"Sentiment(polarity=-0.08181818181818185, subjectivity=0.44999999999999996)",-0.081818182,0.45,0,0,1,0,slow chat close live agent almost,0,0,1,0,"Sentiment(polarity=-0.08181818181818185, subjectivity=0.44999999999999996)",-0.081818182,0.45
Too slow. Event use phone with 6Gb ram,1,0,negative,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.3,0.4,0,0,1,0,slow event phone,0,0,1,0,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.3,0.4
"Very unstable and really slow loading time. Suddenly can't log in due to unknown reason for almost 6 hours straight. The most unbelievable thing is it's already happen MANY time. It seems they don't even try to fix this issue. It's hella annoying when you really need to transfer/do something about your money, yet you can't access or do anything about it. Seems like your system not ""Jenius"" enough, I think?",1,0,negative,"Sentiment(polarity=0.0020833333333333307, subjectivity=0.5145833333333333)",0.002083333,0.514583333,-0.1423,0.074,0.846,0.08,veri slow load time unknown reason almost hour straight thing happen mani time seem even annoy need transfer money access seem like system enough think,0.0571,0.1,0.758,0.142,"Sentiment(polarity=-0.05, subjectivity=0.475)",-0.05,0.475
"Please think twice if you want to start saving at Jenius, the apps is taking too long to load even the homepage, let alone do the saving or bank transfer. I never ever successfully downloaded the receipt even though the feature was there. To make it worse, it has been months this issue occured to me. As a long time user of mobile banking of some other bank with very simple yet responsive application, i think i will be thinking to move all my saving if this issue still persist.",1,0,negative,"Sentiment(polarity=0.020833333333333325, subjectivity=0.531547619047619)",0.020833333,0.531547619,-0.3322,0.079,0.856,0.065,think twice want start save take long load even save bank transfer never ever success receipt even though make month occur long time user bank bank veri think think move save still persist,0.7847,0.072,0.668,0.26,"Sentiment(polarity=0.06666666666666667, subjectivity=0.26666666666666666)",0.066666667,0.266666667
"Tried to open the app through both code pin and biometric, always says it has network issues, even though my connection has never been unstable with both wifi on and off. It's always like this with the password reset, too. Very frustrating, very easy to lose temper to and a god awful user experience. Fix your servers and app, please.",1,0,negative,"Sentiment(polarity=-0.23916666666666667, subjectivity=0.875)",-0.239166667,0.875,-0.1255,0.159,0.676,0.165,tri open code alway say network even though connect never alway like password reset veri veri lose temper aw user server,-0.7657,0.297,0.703,0,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5
"I'm so sorry for giving you 1 star. I have a problem with login with my fingerprint and my PIN. I tried more than 3 times, but it still failed. So, i restarted my phone and login it back. Firstly, it took about 1 minute for Jenius app to process my fingerprint. When the app still got lag, i tried to cancel my ""Dream Save It"", but 'till now it's still on ""Processing to Cancel"" loading page and my balance doesn't change. So, please fix it ASAP! I love Jenius so much, it helped me a lot.",1,0,negative,"Sentiment(polarity=0.0732142857142857, subjectivity=0.41904761904761906)",0.073214286,0.419047619,-0.2499,0.155,0.724,0.121,give star problem login fingerprint tri time still fail restart phone login back took process fingerprint still tri cancel dream save till still process cancel load page chang love much help,0.4404,0.225,0.508,0.267,"Sentiment(polarity=0.05, subjectivity=0.27499999999999997)",0.05,0.275
"This app really give me headache. Can't login to the app on the new phone. Whenever I try to enter email and password, after that it automatically push me back to the login page. It says my 'session is expired', EVERYTIME!.. while the other banking app are easy to switch and use on new phone, more comfortable and seamless banking experience than this one. Sigh.",1,0,negative,"Sentiment(polarity=0.1978956228956229, subjectivity=0.41304713804713805)",0.197895623,0.413047138,0.7836,0,0.887,0.113,give login phone enter password automat push back login page say session bank switch phone comfort seamless bank sigh,0.3818,0,0.825,0.175,"Sentiment(polarity=0.05, subjectivity=0.05)",0.05,0.05
I am disappointed. I think registration via online is easier and has no obstacles the same as one of the online wallet applications. but it didn't. after several times I registered through the application and kept the time so as not to get too close to registering over and over again it turned out to be the same. still wrong in pin making. I hope that someday this application can be used by everyone easily and does not make it difficult for others,1,0,negative,"Sentiment(polarity=-0.16145833333333334, subjectivity=0.4666666666666667)",-0.161458333,0.466666667,0.7102,0.065,0.797,0.138,disappoint think easier wallet sever time kept time close turn still wrong make hope someday use doe make difficult,-0.3818,0.296,0.5,0.204,"Sentiment(polarity=-0.5, subjectivity=0.95)",-0.5,0.95
"Surprisingly slow performance, what happened Jenius? I always failed to activate account. First attempted, connected to Jenius Crew, and suddenly in the middle of video call session, it crashed. I tried it again within 5 minutes, and that was same. Tried another way, I left message on Twitter Official, they gave suggestion, cleared cache, re-installed, tried to activate account (again) and none of that fixed my problem.",1,0,negative,"Sentiment(polarity=-0.05625000000000001, subjectivity=0.23229166666666665)",-0.05625,0.232291667,-0.5267,0.083,0.868,0.05,slow perform happen alway fail account first attempt connect crew video call session crash tri within tri left twitter gave suggest clear tri account none fix problem,-0.3274,0.182,0.675,0.143,"Sentiment(polarity=-0.09, subjectivity=0.2833333333333333)",-0.09,0.283333333
"Where is the ""Face Recognition banner""? I can't link my new device. This is sucks.",1,0,negative,"Sentiment(polarity=-0.08181818181818182, subjectivity=0.37727272727272726)",-0.081818182,0.377272727,-0.3612,0.152,0.848,0,face banner link suck,-0.4404,0.492,0.508,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"I tried to register twice with different phone number and email. The first time I never get the OTP. The second one, verification rejected. I guess I will stick to my old banks and won't use your service. What an irony, because I could get a CC in major bank without problem but can't open a saving account in Jenius Wasting time and very bad experiences.",1,0,negative,"Sentiment(polarity=-0.07107142857142855, subjectivity=0.42857142857142855)",-0.071071429,0.428571429,-0.8773,0.16,0.801,0.039,tri twice differ phone number first time never second reject guess stick bank could major bank without problem open save account wast time veri,0.351,0.092,0.697,0.212,"Sentiment(polarity=0.078125, subjectivity=0.3333333333333333)",0.078125,0.333333333
"Been using this aplication for months now.. at fisrt this app is great. It's convenient and very easy to use. But nowadays many problems occur; such as it's hard to do transaction ( failed every now and then), the page isn't loaded completely, unable to login due to wrong pin number even though i didn't change the pin number and when i reset to new pin still unable to log in. It's really hard to use now...",1,0,negative,"Sentiment(polarity=-0.05905303030303031, subjectivity=0.5719065656565657)",-0.05905303,0.571906566,-0.8818,0.173,0.745,0.083,use month great veri nowaday mani problem occur hard transact fail page load login wrong number even though chang number reset still hard,-0.6597,0.358,0.444,0.198,"Sentiment(polarity=-0.15666666666666668, subjectivity=0.6066666666666666)",-0.156666667,0.606666667
You cant activate an account remotely. Need to go to their service center. Why even wasting time hiring customer service just to fake register?,1,0,negative,"Sentiment(polarity=-0.2333333333333333, subjectivity=0.43333333333333335)",-0.233333333,0.433333333,-0.7003,0.209,0.791,0,cant account need center even wast time hire custom fake,-0.4767,0.256,0.744,0,"Sentiment(polarity=-0.3, subjectivity=0.55)",-0.3,0.55
"If i could give minus star, i would. I have noticed the slow input for login pin for months and I'm fine with it, switched to fingerprint login. Now it doesn't even read my fingerprints, and didn't let me sign in with pin, keep notifying my pin is wrong eventhough i punched the button one by one. I had been forced to change my password and pin because i input the correct one just because the app won't let me in. Other than that the app itself is quite flexible and user friendly.",1,0,negative,"Sentiment(polarity=-0.07619047619047621, subjectivity=0.425)",-0.076190476,0.425,0.024,0.06,0.869,0.071,could give star would slow input login month fine switch fingerprint login even read fingerprint sign keep wrong punch button chang password input correct quit user,-0.3182,0.107,0.83,0.062,"Sentiment(polarity=-0.1277777777777778, subjectivity=0.6)",-0.127777778,0.6
"Huge waste of time. Everything was running smooth until the videocall account activation. I've completed the videocalls and giving all the information needed, after waiting for a full day, the account activation window pops up again. I tried to contact the help center and was told to do the activation again and wait for 24 hours. I already done this process for three times now, and contact the CS everytime the issue occurs, still nothing happen. Not even gonna try anymore.",1,0,negative,"Sentiment(polarity=0.17, subjectivity=0.41)",0.17,0.41,0.5574,0.032,0.883,0.085,huge wast time run smooth account give inform need wait full account window pop tri contact help center told wait hour done process three time contact occur still happen even gon na,0.6124,0,0.857,0.143,"Sentiment(polarity=0.26249999999999996, subjectivity=0.5125)",0.2625,0.5125
"Really love the app for it has great feature, it's been slow since I first install the app, BUT for these past 2-3 months, the app is getting SUPER SLOW. The app is being unreliable to handle emergency/daily need where we need fast service (this is why we use mbanking/ibanking instead of ATM or go to Bank Teller after all). I felt that the great feature was useless when it didn't functioned as expected. Plus something was wrong with the data, my Dream Saver is stucked on Processing state :(",1,0,negative,"Sentiment(polarity=0.014102564102564087, subjectivity=0.5576923076923077)",0.014102564,0.557692308,0.848,0.103,0.722,0.175,love great slow first past month get super slow need need fast instead bank teller felt great useless function expect wrong data dream saver stuck process state,0.9081,0.175,0.42,0.405,"Sentiment(polarity=0.09393939393939393, subjectivity=0.5318181818181819)",0.093939394,0.531818182
"The application lags a lot. I cannot quickly access the information on my dashboard and transfer my money because it keeps loading the data. At times, the application says my PIN is incorrect even though I don't change it. And for fingerprint authentication, it's basically useless now. Please fix those problems immediately.",1,0,negative,"Sentiment(polarity=-0.08333333333333334, subjectivity=0.35)",-0.083333333,0.35,-0.6908,0.137,0.823,0.039,lag access inform dashboard transfer money keep load data time say incorrect even though chang fingerprint basic useless problem,-0.7845,0.331,0.669,0,"Sentiment(polarity=-0.25, subjectivity=0.1625)",-0.25,0.1625
"After the update I can't even login into my account, it asks me to scan my finger prints then ask me to input my pin over and over again but still cannot log in. At first I thought it was my internet connection but NO! I can play YouTube on 720p without problem and no buffering. And the WORSE is there's no button to connect me to call center or any help whatsoever! I never leave a bad Review before this but this is just too much! Please fix the God damn server FFS!",1,0,negative,"Sentiment(polarity=-0.11999999999999997, subjectivity=0.38)",-0.12,0.38,0.4088,0.145,0.664,0.191,even login account ask scan finger print input still first thought connect play without problem buffer button connect call center help never review much damn server,0.8232,0,0.696,0.304,"Sentiment(polarity=0.11666666666666665, subjectivity=0.2111111111111111)",0.116666667,0.211111111
After updating 3.3.1.1 version. I can't even open this app. After login the loading is stuck! Please fix this asap!,1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,0.2225,0.087,0.787,0.126,version even open login load stuck,-0.25,0.286,0.714,0,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5
